Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,San Diego Chargers,16,369,635,58.1,4661,27,4.3,33,5.2,59,7.7,6.2,13.3,291.3,75.1,28,230,4.2,7.0,5.6,2,3
2,Green Bay Packers,16,311,526,59.1,4365,33,6.3,32,6.1,75,8.9,7.4,15.1,272.8,84.1,42,323,7.4,7.7,6.3,3,5
3,Kansas City Chiefs,16,369,641,57.6,4341,29,4.5,19,3.0,53,7.3,6.9,12.7,271.3,83.2,46,343,6.7,6.3,5.9,0,1
4,Dallas Cowboys,16,346,554,62.5,3842,31,5.6,25,4.5,80,7.5,6.6,12.0,240.1,85.2,37,314,6.3,6.5,5.6,2,2
5,San Francisco 49ers,16,339,528,64.2,3797,27,5.1,12,2.3,77,7.6,7.6,11.9,237.3,94.9,33,224,5.9,6.8,6.8,2,1
6,Cleveland Browns,16,324,567,57.1,3661,27,4.8,28,4.9,66,6.9,5.7,12.1,228.8,73.9,33,271,5.5,6.1,4.9,2,3
7,Washington Redskins,16,278,463,60.0,3514,29,6.3,11,2.4,84,8.1,8.3,13.5,219.6,97.0,35,251,7.0,7.1,7.2,2,4
8,New York Giants,16,284,575,49.4,3491,12,2.1,31,5.4,62,6.7,4.7,13.6,218.2,55.7,49,363,7.9,5.6,3.7,0,1
9,Los Angeles Raiders,16,301,504,59.7,3446,31,6.2,24,4.8,99,7.8,6.8,13.0,215.4,84.8,55,464,9.8,6.2,5.3,4,5
10,New York Jets,16,330,559,59.0,3425,21,3.8,28,5.0,64,6.7,5.2,11.3,214.1,70.8,43,317,7.1,5.7,4.3,0,1
11,Atlanta Falcons,16,321,507,63.3,3404,24,4.7,10,2.0,76,7.5,7.5,11.8,212.8,93.6,55,389,9.8,6.1,6.1,4,3
12,Los Angeles Rams,16,286,489,58.5,3221,23,4.7,23,4.7,61,7.0,5.8,11.9,201.3,76.0,23,190,4.5,6.3,5.2,3,3
13,Minnesota Vikings,16,310,555,55.9,3211,15,2.7,22,4.0,68,6.3,5.1,11.3,200.7,67.5,43,303,7.2,5.4,4.2,2,4
14,Cincinnati Bengals,16,290,454,63.9,3183,14,3.1,18,4.0,80,7.7,6.5,12.0,198.9,81.1,40,309,8.1,6.4,5.4,1,0
15,Tampa Bay Buccaneers,16,300,528,56.8,3124,18,3.4,24,4.5,80,6.6,5.2,11.6,195.3,69.4,49,366,8.5,5.4,4.2,,
16,Philadelphia Eagles,16,252,486,51.9,3117,22,4.5,18,3.7,83,7.3,6.5,14.0,194.8,75.2,57,415,10.5,5.7,5.1,2,3
17,Chicago Bears,16,255,447,57.0,3103,21,4.7,22,4.9,87,7.7,6.5,13.6,193.9,77.0,53,358,10.6,6.2,5.1,1,2
18,Buffalo Bills,16,317,571,55.5,3087,30,5.3,28,4.9,43,6.0,4.9,10.8,192.9,70.5,37,351,6.1,5.1,4.0,3,3
19,Miami Dolphins,16,254,442,57.5,3045,28,6.3,11,2.5,85,7.3,7.5,12.7,190.3,91.2,23,190,4.9,6.5,6.7,1,3
20,Denver Broncos,16,254,499,50.9,3027,17,3.4,22,4.4,78,6.9,5.6,13.6,189.2,66.4,55,439,9.9,5.5,4.3,4,5
21,Seattle Seahawks,16,251,449,55.9,2973,25,5.6,18,4.0,50,7.4,6.7,13.2,185.8,81.3,47,343,9.5,6.0,5.4,1,1
22,Detroit Lions,16,263,503,52.3,2955,19,3.8,23,4.6,80,6.6,5.3,12.5,184.7,66.5,45,342,8.2,5.4,4.2,1,2
23,Houston Oilers,16,260,482,53.9,2902,16,3.3,29,6.0,66,6.8,4.8,12.6,181.4,61.4,49,384,9.2,5.5,3.6,0,1
24,St. Louis Cardinals,16,267,460,58.0,2868,29,6.3,21,4.6,71,7.2,6.4,12.4,179.3,82.4,59,441,11.4,5.5,4.8,2,2
25,New England Patriots,16,220,412,53.4,2706,16,3.9,18,4.4,76,7.4,6.2,13.8,169.1,72.1,45,334,9.8,5.9,4.8,2,2
26,New Orleans Saints,16,243,425,57.2,2477,14,3.3,25,5.9,48,6.5,4.6,11.4,154.8,63.5,35,305,7.6,5.4,3.5,2,4
27,Pittsburgh Steelers,16,211,409,51.6,2404,15,3.7,23,5.6,52,6.7,4.9,13.1,150.3,61.9,52,350,11.3,5.2,3.6,2,2
28,Baltimore Colts,16,188,377,49.9,2323,12,3.2,22,5.8,72,7.1,5.1,14.2,145.2,59.4,47,340,11.1,5.5,3.7,3,4
