Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Seattle Seahawks,16,525,2762,20,79,5.3,172.6,23,68.39
2,Dallas Cowboys,16,508,2354,16,65,4.6,147.1,21,-4.39
3,New York Jets,16,507,2280,11,71,4.5,142.5,25,-10.54
4,San Francisco 49ers,16,470,2176,10,90,4.6,136.0,18,-27.95
5,Houston Texans,16,551,2161,12,51,3.9,135.1,19,-34.23
6,Cincinnati Bengals,16,492,2147,19,89,4.4,134.2,20,2.79
7,Carolina Panthers,16,473,2036,10,69,4.3,127.3,25,-6.19
8,Baltimore Ravens,16,448,2019,16,52,4.5,126.2,16,-17.36
9,Philadelphia Eagles,16,474,1992,16,53,4.2,124.5,25,-30.60
10,Kansas City Chiefs,16,420,1918,18,63,4.6,119.9,22,10.36
11,Green Bay Packers,16,435,1917,14,44,4.4,119.8,19,-33.08
12,Miami Dolphins,16,399,1872,12,97,4.7,117.0,27,-2.97
13,New Orleans Saints,16,406,1818,16,67,4.5,113.6,22,9.64
14,Minnesota Vikings,16,413,1804,12,67,4.4,112.8,12,9.01
15,Denver Broncos,16,443,1785,15,47,4.0,111.6,16,-19.29
16,Pittsburgh Steelers,16,423,1752,10,81,4.1,109.5,16,-25.17
17,Cleveland Browns,16,477,1728,17,36,3.6,108.0,17,-34.46
18,New England Patriots,16,438,1727,13,43,3.9,107.9,13,6.99
19,Washington Redskins,16,401,1691,15,30,4.2,105.7,31,-12.05
20,St. Louis Rams,16,395,1635,11,89,4.1,102.2,27,-40.74
21,Jacksonville Jaguars,16,360,1633,9,62,4.5,102.1,15,-4.56
22,Indianapolis Colts,16,415,1612,9,49,3.9,100.8,31,-53.39
23,New York Giants,16,449,1603,13,50,3.6,100.2,21,-30.98
24,Atlanta Falcons,16,372,1498,11,55,4.0,93.6,16,-20.02
25,Buffalo Bills,16,402,1482,7,53,3.7,92.6,22,-56.16
26,Tennessee Titans,16,356,1447,6,52,4.1,90.4,23,-40.59
27,Chicago Bears,16,355,1441,8,32,4.1,90.1,19,1.62
28,Detroit Lions,16,396,1422,11,57,3.6,88.9,21,-27.68
29,Tampa Bay Buccaneers,16,353,1375,7,63,3.9,85.9,29,-39.97
30,San Diego Chargers,16,398,1367,6,52,3.4,85.4,15,-40.11
31,Arizona Cardinals,16,397,1308,6,22,3.3,81.8,16,-49.55
32,Oakland Raiders,16,337,1240,4,90,3.7,77.5,28,-72.59
